order_id,customer_name,city,product,category,quantity,price
1001,Rahul Sharma,Hyderabad,Laptop,Electronics,1,65000
1002,Priya Reddy,Bangalore,Mobile,Electronics,2,25000
1003,Amit Kumar,Mumbai,Chair,Furniture,3,5000
1004,Sneha Patel,Chennai,Laptop,Electronics,1,70000
1005,Farhan Ali,Delhi,Table,Furniture,2,12000
1006,Neha Singh,Hyderabad,Mobile,Electronics,1,28000
1007,Arjun Verma,Pune,Chair,Furniture,4,5500
1008,Meera Nair,Bangalore,TV,Electronics,1,45000
1009,Kiran Rao,Hyderabad,Table,Furniture,1,13000
1010,Ravi Kumar,Mumbai,Mobile,Electronics,2,27000
1011,Deepak Jain,Delhi,Laptop,Electronics,1,68000
1012,Ananya Gupta,Hyderabad,TV,Electronics,2,47000
